#{"t_start": 1765858255.9665444, "env_id": "highway-ME-basic-v0"}
r,l,t
16.067107,13,173.67475
14.428975,13,174.371962
39.06474,33,176.467602
9.097661,8,177.076782
33.899516,27,178.907046
7.698134,7,179.320751
3.270194,3,179.488627
29.299067,25,180.999231
17.699999,16,181.814852
3.299543,3,181.984239
4.469261,4,182.182848
12.924373,11,182.753037
1.9,2,182.861979
19.895967,19,183.816207
4.098198,4,184.020621
41.660953,33,185.637423
15.502654,15,186.366637
26.06889,23,187.565441
5.298198,5,187.820805
2.898198,3,187.97231
8.869668,7,188.36023
12.103921,11,188.930573
12.867826,11,189.477656
4.468568,4,189.676993
9.102619,9,190.125705
10.897834,9,190.578183
8.099058,7,190.920356
33.86725,32,192.49208
16.896785,16,193.296094
33.265358,29,194.792734
3.89954,4,194.996045
3.22735,3,195.149416
18.665169,15,195.906881
3.098068,3,196.077855
8.467167,7,196.433871
3.270194,3,196.590544
6.268744,5,196.835902
14.727642,15,197.618909
7.099475,6,197.922653
3.269501,3,198.080013
14.929859,14,198.787629
11.499067,10,199.333284
9.496885,8,199.77066
4.298133,4,199.977245
11.870409,10,200.474091
7.497279,7,200.845004
13.472328,13,201.490325
11.068088,9,201.942509
9.869492,8,202.32131
9.068924,8,202.733109
7.869668,6,203.035628
4.1,4,203.232857
4.469501,4,203.437622
15.496316,13,204.094672
9.872747,9,204.538865
27.725983,25,205.791828
9.66824,8,206.200753
7.896725,7,206.586456
19.726883,17,207.528633
9.094662,8,207.935941
9.099005,8,208.351389
8.869668,7,208.72286
5.297136,5,208.98148
2.899067,3,209.144279
11.469668,9,209.615705
6.870194,6,209.934825
10.297821,10,210.454266
9.89713,8,210.86874
3.099067,3,211.031697
5.671859,5,211.31668
21.098029,20,212.381459
18.696887,17,213.236033
42.592407,40,215.313662
12.225871,10,215.848552
43.795857,40,217.971743
11.668252,9,218.455708
11.268458,10,218.990642
3.269501,3,219.169949
25.825943,25,220.476331
39.667086,34,222.342054
2.899067,3,222.498351
9.669499,8,222.93489
20.297124,16,223.787553
33.29623,29,225.317652
8.103399,7,225.663203
11.297207,11,226.205096
3.072729,3,226.356059
12.628734,10,226.853219
4.669044,4,227.051207
15.923788,16,227.852758
3.072729,3,228.012278
10.469745,9,228.4663
15.723846,14,229.18186
20.697717,19,230.169309
10.066634,8,230.585797
6.295262,6,230.901188
4.66926,4,231.115354
4.099066,4,231.333388
10.303916,9,231.788573
8.468743,7,232.151607
9.695299,8,232.567822
6.729387,7,232.953644
14.874178,13,233.649133
8.267872,7,234.017741
20.893129,17,235.202858
19.895023,17,236.086966
5.499086,5,236.353748
7.298148,7,236.723881
3.229501,3,236.883062
7.426122,7,237.251853
5.298067,5,237.504789
5.098147,5,237.766561
14.426612,12,238.390421
8.700678,8,238.816793
10.465961,8,239.232642
21.898088,21,240.316746
16.300505,16,241.167108
13.869572,13,241.847522
21.068248,17,242.728547
42.068672,37,244.651449
5.669501,5,244.902574
5.299066,5,245.165494
5.673206,5,245.422493
7.728874,8,245.851971
8.267229,7,246.220872
23.501312,22,247.419749
10.130332,10,247.933764
6.273731,6,248.237458
2.924533,3,248.399428
4.099066,4,248.620074
16.894683,16,249.473504
7.473245,7,249.833841
4.470194,4,250.050488
9.298722,9,250.51955
35.528518,34,252.308785
39.065261,35,254.115729
5.069677,4,254.320603
38.294622,35,256.163743
28.326044,27,257.552728
5.730262,6,257.865469
10.424781,8,258.300728
4.099066,4,258.519385
5.299066,5,258.779924
18.897266,18,259.705007
10.268962,8,260.11514
2.898198,3,260.286202
13.272386,13,260.97019
16.296868,16,261.798004
12.897197,11,262.351395
9.13033,9,262.817208
20.068998,18,263.730505
7.29821,7,264.0937
7.729797,7,264.452723
4.099066,4,264.676858
26.870048,25,266.02116
9.028959,7,266.371396
5.495598,5,266.624724
27.86683,26,267.985754
22.071088,20,268.984033
4.698533,4,269.192322
6.101659,6,269.502559
13.46833,11,270.086461
13.294154,12,270.712506
15.070805,13,271.403761
42.196298,40,273.485928
13.271776,11,274.047789
8.500684,8,274.466956
13.72792,13,275.121005
7.227456,7,275.468373
15.467533,13,276.143777
24.869285,22,277.228604
4.668359,4,277.429816
15.07273,14,278.140169
9.66897,8,278.556856
9.868459,9,279.014604
7.30299,7,279.36258
10.669263,10,279.871012
5.2972,5,280.14681
3.02746,3,280.302063
3.096532,3,280.461231
4.098068,4,280.663933
3.269501,3,280.829611
10.429668,8,281.238301
21.27279,21,282.333415
4.098131,4,282.545823
8.325105,7,282.922397
7.099475,6,283.252735
4.473206,4,283.485908
10.498161,10,284.006349
5.895308,5,284.270328
12.628022,10,284.785855
2.898198,3,284.942069
7.671804,7,285.294417
10.92441,9,285.750337
5.428546,5,286.000587
44.024672,40,288.017563
7.093702,6,288.333084
7.698198,7,288.70586
5.728871,6,289.015771
12.696269,11,289.580647
15.42417,14,290.283964
23.270988,20,291.323864
9.697752,9,291.800309
21.828734,18,292.74039
12.128397,12,293.353054
39.827336,38,295.274776
10.497493,9,295.740442
3.072729,3,295.894665
15.496396,14,296.614757
5.297266,5,296.880495
11.895555,11,297.448432
21.666971,20,298.464634
7.101703,7,298.828089
2.9,3,298.999494
6.728542,7,299.351045
25.123203,24,300.61978
9.094531,8,301.043851
22.664728,17,301.940847
13.899612,14,302.655682
14.669668,12,303.272367
11.665588,10,303.786856
4.099067,4,304.018111
4.099067,4,304.226794
3.269501,3,304.38209
7.628959,6,304.700479
32.668876,31,306.322584
9.09953,8,306.735586
3.229501,3,306.886334
12.664887,11,307.458837
14.027489,12,308.087673
12.697201,11,308.67078
14.627007,12,309.293757
9.103471,9,309.748015
7.469669,6,310.069328
16.900526,17,310.946711
9.268975,7,311.308718
17.898995,14,312.013808
8.668028,7,312.390337
12.499646,10,312.903797
9.497978,8,313.314333
5.668568,5,313.575774
3.270194,3,313.75011
22.227578,19,314.711734
6.072452,5,314.969189
17.293374,14,315.700528
9.868497,8,316.13179
21.129281,20,317.167757
27.265744,24,318.459688
19.023228,18,319.384819
14.89634,12,320.019413
6.871795,6,320.330525
5.494729,5,320.594849
13.468744,11,321.177072
21.467095,17,322.075912
12.072729,11,322.635705
5.669261,5,322.89092
27.902599,26,324.249648
8.925395,8,324.668686
4.668359,4,324.874965
26.492155,24,326.098202
20.467753,18,327.054443
4.669031,4,327.281956
12.667586,10,327.794312
11.66758,9,328.270608
12.129327,12,328.904153
8.268544,7,329.275109
12.268511,11,329.838107
27.723155,26,331.184685
10.069668,8,331.595175
3.270194,3,331.76467
9.427476,9,332.225785
2.899066,3,332.3864
3.269501,3,332.538709
15.468041,12,333.174485
19.067391,16,334.008155
2.899066,3,334.165283
2.899066,3,334.319726
6.673663,6,334.655851
5.099142,5,334.911916
3.903468,4,335.114856
13.869747,12,335.739853
23.722039,22,336.883636
14.126855,13,337.555361
17.068744,14,338.297635
9.469678,8,338.722078
8.528535,9,339.207125
28.897797,26,340.541882
8.472816,8,340.967655
9.868353,9,341.427571
16.92592,16,342.253405
3.096532,3,342.407163
9.728459,9,342.87314
29.865107,27,344.28686
4.629646,4,344.514265
37.268985,33,346.217365
16.666944,14,346.951813
4.299066,4,347.155564
15.672708,14,347.907343
3.270194,3,348.059843
10.273726,10,348.572846
18.499073,18,349.497815
28.102054,24,350.68384
7.468961,6,350.984254
5.297266,5,351.233409
10.426405,10,351.738137
4.300019,4,351.958359
1.873663,2,352.059579
8.82746,8,352.456659
8.897263,8,352.857427
4.470194,4,353.080283
20.702186,20,354.130307
16.897208,16,354.941734
5.296592,5,355.193853
16.103048,16,356.037698
8.470201,8,356.445014
22.867861,18,357.362186
9.668744,8,357.769204
3.073663,3,357.947541
17.299074,16,358.754961
8.427489,7,359.134041
4.470194,4,359.335049
4.272728,4,359.560733
11.499598,11,360.128094
4.1,4,360.337219
7.826529,7,360.706991
17.6941,16,361.553947
3.669738,3,361.708373
5.299067,5,361.971412
14.298782,12,362.58305
7.871795,7,362.9569
12.426558,10,363.470812
4.669738,4,363.67389
3.270194,3,363.832437
15.128932,13,364.502407
8.725514,9,364.974183
8.273594,7,365.334231
4.469563,4,365.548391
6.06897,5,365.816185
10.670361,10,366.323867
3.096532,3,366.481177
6.868567,6,366.801749
3.669031,3,366.981539
18.468273,14,367.710757
4.669738,4,367.916863
26.094131,24,369.146137
7.468976,6,369.46299
3.496075,3,369.623517
12.427479,11,370.200166
6.898533,6,370.513297
11.327566,11,371.091728
5.299067,5,371.34891
2.029501,2,371.453895
11.629668,10,371.957438
15.098717,15,372.773806
20.695505,20,373.804366
13.824968,11,374.373128
4.669738,4,374.579833
12.128462,12,375.211784
4.669738,4,375.418909
15.498094,15,376.203857
