episode_id,seed,success,episode_length,episode_reward,basic_reward,mean_speed,mean_lane,total_norm_cost
24,66,1,40,19.25,40.0303317535545,20.017209261874132,0.9625,1.5
23,65,1,40,18.0,41.827705239494996,21.138399807737834,0.9,4.0
25,67,1,40,19.25,42.37418592569478,21.48304490195842,0.9625,1.5
26,68,1,40,20.0,42.02939651434136,21.268372821463345,1.0,0.0
24,66,1,40,19.25,40.0303317535545,20.017209261874132,0.9625,1.5
23,65,1,40,18.75,41.827704129487344,21.13994740896006,0.9375,2.5
26,68,1,40,20.0,42.02939651434143,21.268372821463387,1.0,0.0
25,67,1,40,19.25,42.37418592569478,21.48304490195842,0.9625,1.5
27,69,1,40,18.5,42.02769090501166,21.266482291758244,0.925,3.0
28,70,1,40,19.25,41.628703396025266,21.01711832094063,0.9625,1.5
29,71,1,40,20.0,45.23033070783994,23.268956692399954,1.0,0.0
27,69,1,40,18.5,42.02767797617732,21.264937470583273,0.925,3.0
30,72,1,40,20.0,40.430331753554505,20.26895734597156,1.0,0.0
28,70,1,40,19.0,41.42844459426403,20.89195657000902,0.95,2.0
29,71,1,40,20.0,45.23033175354834,23.268957345967717,1.0,0.0
31,73,1,40,19.5,46.22867345882971,23.892920911768563,0.975,1.0
32,74,1,40,19.5,42.02788029873966,21.266882650692445,0.975,1.0
33,75,1,40,19.5,41.62939832967982,21.01528121281533,0.975,1.0
34,76,1,40,20.0,42.59906596234914,21.624416226468206,1.0,0.0
35,77,1,40,18.25,43.42869013504809,22.139118941944478,0.9125,3.5
36,78,1,40,20.0,41.8303317535545,21.143957345971565,1.0,0.0
37,79,1,40,19.0,41.427131520749214,20.891135898867432,0.95,2.0
38,80,1,40,18.75,41.627763563871646,21.016130795157792,0.9375,2.5
39,81,1,40,13.5,43.828445256276126,22.39113244716975,0.675,13.0
40,82,1,40,18.75,41.6293764005263,21.017538948728166,0.9375,2.5
41,83,1,40,20.0,42.030331753554506,21.268957345971565,1.0,0.0
42,84,1,40,20.0,40.82541133133453,20.515882082084083,1.0,0.0
43,85,1,40,20.0,41.2303317535545,20.768957345971565,1.0,0.0
