#{"t_start": 1769197097.4118383, "env_id": "parking-basic-v0"}
r,l,t
-68.834178,100,92.621491
-66.403499,100,94.978405
-67.092672,100,97.42059
-56.594192,100,99.757236
-57.936862,100,102.133355
-42.286344,100,104.536077
-70.11617,100,106.849484
-53.892046,100,109.059204
-69.514817,100,111.30328
-31.837862,100,113.682444
-52.514863,100,116.118485
-42.102792,100,118.449329
-64.447912,100,120.777543
-48.05151,100,123.007895
-56.0405,100,125.293194
-43.527754,100,127.621539
-52.903285,100,130.18501
-55.504842,100,132.484777
-30.157126,100,134.830753
-50.07161,100,137.164356
-54.574576,100,139.450336
-66.961189,100,142.069843
-34.184091,100,144.386044
-70.949914,100,146.775914
-64.555508,100,149.163474
-52.750397,100,151.657253
-39.979545,100,154.066568
-76.103494,100,156.457684
-34.880742,100,158.840967
-34.711469,100,161.289246
-50.622176,100,163.684076
-45.210293,100,166.126197
-25.02307,100,168.498365
-56.463078,100,170.885058
-69.973922,100,173.25642
-50.496216,100,175.65434
-41.727803,100,177.992413
-37.149774,100,180.317039
-74.403792,100,182.709766
-46.722615,100,184.980056
-51.703618,100,187.202618
-38.300854,100,189.454621
-71.28085,100,192.408059
-99.946682,100,194.779821
-33.902191,100,197.136261
-62.161235,100,199.515782
-77.934179,100,202.171212
-59.659092,100,204.583165
-56.595029,100,207.050751
-47.720456,100,209.583894
-51.132083,100,212.11395
-43.556606,100,214.503112
-54.2379,100,216.876182
-57.702333,100,219.247651
-42.040423,100,221.709358
-40.667462,100,224.106426
-42.135725,100,226.63038
-27.808418,100,229.033061
-46.224605,100,231.372162
-61.094918,100,233.748664
-37.5903,100,236.234501
-35.008237,100,238.618939
-39.972742,100,240.948231
-28.979769,100,243.651555
-54.365771,100,246.109567
-45.310317,100,248.507247
-32.539697,100,250.916464
-39.749684,100,253.290789
-45.182485,100,255.702362
-55.138779,100,258.804256
-45.82587,100,261.290851
-65.12545,100,263.9904
-32.691559,100,266.422165
-57.474767,100,268.854393
-55.090492,100,271.28417
-52.634039,100,273.770048
-30.485929,100,276.109065
-47.742744,100,278.456073
-37.206457,100,280.888706
-50.898577,100,283.315606
-48.068374,100,285.771161
-52.362091,100,288.18021
-31.250609,100,290.638409
-37.055691,100,293.035191
-5.794035,32,293.842615
-62.802722,100,297.050404
-42.944329,100,299.370504
-50.073939,100,301.734488
-49.325518,100,304.093245
-50.011537,100,306.45834
-58.533943,100,308.827819
-74.438397,100,311.376359
-53.607492,100,313.732881
-96.406902,100,316.135685
-40.16045,100,318.49546
-36.197693,100,320.94604
-38.886538,100,323.691074
-40.992755,100,326.958814
-48.020091,100,329.225507
-58.273617,100,331.6031
-61.702695,100,334.097444
-31.994442,100,336.523916
-100.026436,100,338.884563
-29.197434,100,341.234744
-48.969835,100,343.657546
-40.753129,100,346.064378
-25.043244,100,348.476212
-27.698691,100,350.92608
-27.834299,100,353.395841
-35.158875,100,355.917086
-41.288507,100,358.384779
-28.997569,100,360.821002
-54.142713,100,363.266023
-31.077033,100,365.603523
-50.868916,100,367.961683
-59.56202,100,370.335777
-37.555804,100,372.665129
-54.442717,100,374.964223
-45.627016,100,377.374159
-42.210978,100,379.754997
-37.773067,100,382.154275
-57.091001,100,385.006217
-33.191154,100,387.629467
-34.81264,100,390.1599
-30.26406,100,392.632233
-81.259811,100,395.103661
-44.431487,100,397.45917
-53.10243,100,399.839153
-41.177891,100,402.192396
-42.051719,100,404.59862
-33.852184,100,406.985004
-61.300656,100,409.308058
-28.347269,100,411.635367
-72.245896,100,414.001029
-43.111227,100,416.382142
-40.963749,100,418.865654
-20.165529,100,421.36005
-46.566198,100,423.778854
-47.214232,100,426.162418
-45.124332,100,428.502233
-39.864967,100,431.555671
-49.538762,100,433.943109
-32.218933,100,436.331107
-48.172398,100,438.788598
-55.206978,100,441.16235
-29.060652,100,443.64986
-66.575773,100,446.339406
-73.445597,100,448.931006
-35.266155,100,451.501747
-46.406623,100,453.953464
-30.748033,100,456.413051
-38.431157,100,458.77105
-48.540763,100,461.140865
-39.014587,100,463.555007
-28.361433,100,465.948011
-35.131059,100,468.358038
-24.696041,100,470.775891
-36.173381,100,473.183333
-53.685134,100,475.624371
-35.440496,100,478.148771
-33.039646,100,480.624865
-49.03193,100,483.152333
-46.353537,100,485.578974
-25.941097,100,488.080842
-32.65247,100,490.564155
-40.633494,100,492.948121
-30.692426,100,495.329304
-58.820914,100,497.554695
-46.419821,100,499.873161
-37.698739,100,502.108957
-30.806442,100,504.583366
-44.236915,100,507.126903
-31.293436,100,509.482727
-30.822588,100,511.939797
-44.279486,100,520.605747
-31.392057,100,523.107049
-44.115438,100,525.566153
-47.76749,100,527.948176
-53.83751,100,530.869038
-24.917667,100,537.138476
-38.320803,100,539.41918
-41.648175,100,541.841092
-25.113748,100,544.651958
-32.764806,100,549.179904
-28.496667,100,551.675201
-36.266372,100,563.538072
-46.50676,100,566.186707
-60.079402,100,568.612259
-51.145851,100,571.002766
-36.146734,100,574.828361
-77.062202,100,580.076754
-59.364398,100,582.421525
-62.371866,100,584.895464
-34.357954,100,587.309237
-35.027957,100,590.450829
-41.880416,100,592.782782
-35.031906,100,595.081786
-37.841042,100,597.343335
-43.660256,100,599.805022
-31.54289,100,602.306346
-58.858835,100,604.771683
-36.816575,100,607.180764
-40.711514,100,609.577931
-45.641002,100,612.148081
-27.08116,100,614.640043
-58.351143,100,617.052325
-44.702672,100,619.454401
-36.298977,100,621.906697
-67.561751,100,624.681123
-28.941271,100,628.473635
-30.88892,100,631.856675
-43.170826,100,634.587389
-43.437433,100,637.047119
-34.571638,100,639.254718
-44.077273,100,642.60036
-31.946977,100,645.31049
-67.248183,100,651.392667
-59.89234,100,653.720793
-38.030085,100,656.08341
-33.725723,100,658.503645
-40.297735,100,660.997094
-32.20179,100,663.815382
-39.084735,100,668.190269
-39.093274,100,670.699832
-29.646892,100,673.333206
-30.606716,100,761.915647
-28.704118,100,768.109281
-68.906188,100,770.793543
-36.732089,100,773.324492
-33.551784,100,776.290947
-37.996438,100,778.731049
-35.250865,100,781.478692
-38.245601,100,783.894403
-31.905674,100,786.337018
-42.559975,100,788.82285
-32.67378,100,791.364405
-35.341458,100,793.811974
-31.539587,100,798.008525
-55.110854,100,801.146273
-52.364458,100,803.494027
-36.537763,100,805.919263
-39.150545,100,808.376904
-37.455071,100,810.626765
-36.602419,100,812.950906
-29.711271,100,815.940885
-44.352343,100,818.433023
-35.488154,100,820.798779
-32.204616,100,823.184293
-29.528186,100,825.627661
-40.754561,100,828.926733
-32.130233,100,831.34655
-52.596129,100,834.616554
-33.209045,100,836.963973
-51.609121,100,839.910079
-30.317028,100,843.914346
-34.975326,100,846.144126
-56.082058,100,848.566458
-55.350243,100,850.931048
-32.718835,100,853.310583
-35.857823,100,855.683467
-34.365394,100,858.129554
-42.481015,100,860.60662
-47.268605,100,863.010647
-61.879696,100,865.548278
-41.5405,100,868.208461
-30.499194,100,870.715552
-30.973374,100,873.144283
-21.260291,100,875.506899
-36.642593,100,877.941221
-43.105851,100,880.952586
-72.840872,100,883.284989
-42.167063,100,885.696854
-28.978097,100,888.051637
-26.871611,100,890.306966
-47.927005,100,892.689708
-36.051002,100,895.083481
-30.346755,100,897.393177
-30.748684,100,899.704188
-33.448839,100,902.104751
-35.856031,100,904.510025
-20.728912,100,906.896386
-37.768494,100,909.21114
-36.728744,100,911.669271
-63.366169,100,914.00938
-33.739926,100,916.357592
-45.138277,100,918.809179
-30.192983,100,921.226926
-26.773803,100,923.682807
-28.338235,100,926.073588
-53.675176,100,928.663154
-38.11302,100,930.953195
-50.163214,100,933.378859
-31.851037,100,935.64755
-47.071249,100,937.943098
-42.012627,100,940.265322
-38.375563,100,942.636001
-44.108484,100,945.121889
-27.09523,100,947.571304
-35.961858,100,949.939464
-25.887285,100,952.320183
-33.19861,100,954.840227
-55.029367,100,957.272663
-25.723743,100,959.587723
-52.007237,100,961.969319
-35.625374,100,964.383551
-37.113336,100,966.752682
-28.569274,100,969.111723
-29.112844,100,971.538693
-27.809161,100,973.901877
-31.608897,100,976.289033
-36.731604,100,978.659718
-40.618846,100,981.047765
-31.73117,100,983.467051
-36.645004,100,985.969388
-31.975871,100,988.723871
-47.075486,100,991.081661
-48.0821,100,994.325873
-41.348462,100,996.874182
-23.227057,100,999.339864
-58.866772,100,1001.775528
-32.291117,100,1004.198157
-41.69639,100,1006.728786
-36.725888,100,1008.970775
-32.874781,100,1011.34748
-31.075681,100,1013.661762
-27.550345,100,1016.178115
-37.193448,100,1018.601408
-39.916151,100,1021.002752
-27.511091,100,1023.384747
-40.813982,100,1025.815093
-51.48569,100,1028.230334
-37.166495,100,1030.655475
-51.868757,100,1032.977787
-40.421574,100,1035.347803
-70.855536,100,1037.748322
-31.966157,100,1040.144774
-66.507214,100,1042.487902
-41.730193,100,1044.854615
-44.694434,100,1047.321761
-21.24021,100,1050.059636
-24.001596,100,1052.518279
-36.825019,100,1054.93271
-24.008829,100,1057.270649
-32.430577,100,1059.625887
-29.239468,100,1061.972649
-41.259978,100,1064.330018
-38.192514,100,1066.739922
-26.156972,100,1069.137284
-37.169354,100,1071.567817
-6.231331,21,1072.058692
-31.29108,100,1074.419815
-33.274373,100,1076.807551
-42.582046,100,1079.104973
-35.980445,100,1081.486839
-25.789983,100,1084.081881
-26.016408,100,1086.430044
-32.556203,100,1088.803081
-17.8925,100,1091.182483
-36.012186,100,1093.576412
-43.426966,100,1095.886124
-38.237374,100,1098.206156
-34.848967,100,1100.662509
-33.79887,100,1102.990373
-36.081898,100,1105.37893
-33.277115,100,1107.817883
-27.286462,100,1110.364084
-41.716718,100,1112.808333
-29.593519,100,1115.32074
-33.898869,100,1117.918852
-35.814115,100,1120.354007
-35.324676,100,1122.794576
-33.058316,100,1125.77397
-30.442521,100,1128.129515
-23.63257,100,1130.49688
-33.454763,100,1132.805032
-40.464767,100,1135.091784
-35.682566,100,1137.522936
-36.562188,100,1139.866999
-34.332355,100,1142.250915
-37.505025,100,1144.792499
-31.442561,100,1147.21146
-36.413559,100,1149.567458
-34.434947,100,1151.786518
-40.916452,100,1154.139519
-35.551716,100,1156.416601
-37.206099,100,1158.869364
-28.163759,100,1161.290384
-35.512914,100,1163.755618
-36.097374,100,1166.122448
-35.210641,100,1168.715864
-33.548726,100,1171.064223
-36.009737,100,1173.381075
-38.328986,100,1175.70258
-37.453985,100,1178.08637
-28.88412,100,1180.537493
-56.784347,100,1182.814361
-55.868738,100,1185.234727
-44.116127,100,1187.630684
-51.227913,100,1190.015387
-35.160126,100,1192.284652
-31.418053,100,1194.570623
-34.755202,100,1196.878564
-25.144652,100,1199.253218
-43.725682,100,1201.646911
-34.755505,100,1204.130362
-37.96276,100,1206.619785
-49.406962,100,1209.097452
-32.095402,100,1213.845109
-40.890421,100,1216.23889
-34.139571,100,1218.640021
-38.625953,100,1221.062168
-45.694363,100,1223.529322
-40.99527,100,1225.914285
-41.907689,100,1228.319034
