#{"t_start": 1769197097.4771245, "env_id": "parking-basic-v0"}
r,l,t
-54.144573,100,92.556246
-44.539647,100,94.914248
-59.853984,100,97.355371
-59.373671,100,99.691971
-60.633358,100,102.06826
-37.771573,100,104.471036
-45.060894,100,106.784099
-69.034129,100,108.994097
-58.839236,100,111.238077
-34.380092,100,113.617319
-51.93829,100,116.053551
-62.366762,100,118.384138
-66.803307,100,120.714155
-30.040098,100,122.943538
-64.123911,100,125.22814
-40.806016,100,127.556553
-90.493244,100,130.119697
-60.499621,100,132.419574
-46.479187,100,134.765194
-37.25193,100,137.099119
-68.269756,100,139.385056
-50.526319,100,142.004342
-52.714895,100,144.320814
-51.681332,100,146.710531
-64.620769,100,149.098236
-47.320259,100,151.591987
-51.711783,100,154.001433
-57.655227,100,156.392447
-51.375822,100,158.775856
-32.842224,100,161.225815
-61.635833,100,163.619179
-55.53247,100,166.060118
-77.936378,100,168.43326
-70.309944,100,170.819841
-87.90994,100,173.19131
-48.199907,100,175.589196
-58.667439,100,177.927273
-37.688221,100,180.251841
-32.163204,100,182.644606
-95.177581,100,184.914789
-70.337334,100,187.137356
-54.52728,100,189.389326
-89.708767,100,192.34291
-30.723645,100,194.714462
-42.520283,100,197.070536
-34.558043,100,199.452159
-57.510435,100,202.105617
-52.2778,100,204.517294
-37.536664,100,206.985421
-67.049577,100,209.518452
-50.880068,100,212.04795
-51.696289,100,214.437739
-55.564391,100,216.811061
-47.954901,100,219.183268
-51.356363,100,221.644863
-46.245096,100,224.041047
-52.697423,100,226.565256
-39.309283,100,228.967798
-34.475803,100,231.306797
-43.427779,100,233.683302
-43.080351,100,236.169178
-24.616931,100,238.553609
-34.523938,100,240.883018
-49.967197,100,243.586802
-45.121816,100,246.043681
-46.23204,100,248.442079
-29.672614,100,250.851006
-51.295746,100,253.225572
-35.306833,100,255.635963
-51.105933,100,258.740779
-56.562704,100,261.227413
-62.491071,100,263.92506
-43.680767,100,266.35767
-36.31226,100,268.78949
-28.474601,100,271.21894
-47.859675,100,273.704727
-48.986782,100,276.044014
-27.850473,100,278.390816
-25.096019,100,280.823332
-28.0583,100,283.251191
-50.007794,100,285.705416
-39.746789,100,288.116235
-28.304199,100,290.573071
-13.685638,40,291.548008
-40.844403,100,293.971988
-28.729263,100,297.178314
-30.87673,100,299.48998
-45.228751,100,301.861955
-46.106159,100,304.213252
-63.173402,100,306.583695
-43.37122,100,308.951858
-43.799149,100,311.49991
-29.980535,100,313.850595
-46.801158,100,316.25927
-56.254115,100,318.619713
-50.665742,100,321.093931
-30.31249,100,323.841802
-33.979628,100,327.077672
