#{"t_start": 1769197107.792095, "env_id": "parking-basic-v0"}
r,l,t
-46.807746,100,82.241234
-58.770727,100,84.597769
-74.685693,100,87.040403
-54.711179,100,89.377117
-46.992139,100,91.753141
-52.304152,100,94.155847
-66.328545,100,96.469138
-57.779761,100,98.678912
-59.42291,100,100.922992
-43.379218,100,103.302503
-62.131364,100,105.738228
-33.649531,100,108.069062
-36.452851,100,110.397301
-52.652997,100,112.627555
-43.823168,100,114.912947
-39.375169,100,117.241449
-38.206752,100,119.804787
-55.119788,100,122.104724
-92.982004,100,124.450349
-45.833312,100,126.784184
-50.470355,100,129.069977
-83.455683,100,131.688711
-56.118438,100,134.005861
-58.371549,100,136.395441
-40.474938,100,138.783198
-69.553603,100,141.274476
-42.316893,100,143.6863
-24.500994,100,146.07779
-80.89804,100,148.460699
-48.136213,100,150.908985
-44.830817,100,153.303898
-30.732648,100,155.745577
-47.321562,100,158.118103
-55.725812,100,160.50592
-71.636471,100,162.876207
-43.637889,100,165.274048
-87.763237,100,167.612253
-33.123606,100,169.936917
-26.509714,100,172.329407
-38.934429,100,174.599847
-70.370324,100,176.822357
-77.145439,100,179.074424
-96.767971,100,182.027808
-54.602395,100,184.39947
-42.442033,100,186.755434
-22.588844,100,189.135851
-46.691826,100,191.790652
-59.741262,100,194.203096
-71.947478,100,196.670419
-57.84177,100,199.203379
-45.109049,100,201.732889
-49.540309,100,204.122731
-40.335584,100,206.496076
-48.745364,100,208.867336
-42.317156,100,211.329892
-40.487285,100,213.726089
-80.501912,100,216.250129
-28.279136,100,218.652804
-69.359915,100,220.991746
-49.096636,100,223.368236
-50.435542,100,225.854105
-56.132561,100,228.238677
-43.998216,100,230.568078
-33.856567,100,233.271098
-53.303981,100,235.728448
-40.845779,100,238.127117
-49.828319,100,240.536053
-52.1253,100,242.91057
-53.535585,100,245.320874
-38.078787,100,248.423759
-61.11437,100,250.912443
-37.337887,100,253.610017
-53.310431,100,256.041448
-60.137085,100,258.474395
-28.499598,100,260.904527
-42.366661,100,263.389796
-75.419746,100,265.728841
-52.261797,100,268.075689
-39.369845,100,270.508359
-34.895656,100,272.935801
-58.71612,100,275.390881
-54.254269,100,277.801513
-74.082892,100,280.258107
-23.251539,100,282.65502
-72.835527,100,285.857036
-66.847528,100,288.235216
-39.73188,100,290.562932
-78.172208,100,292.927811
-36.97345,100,295.288816
-75.015184,100,297.665054
-32.043336,100,300.159383
-40.116257,100,302.588296
-55.878202,100,304.948634
-33.416804,100,307.337976
-52.667606,100,309.735314
-39.860157,100,312.404477
-61.886502,100,314.920034
-61.697707,100,318.077441
-48.251438,100,320.42736
-43.717266,100,322.826667
-48.178791,100,325.32902
-37.268458,100,327.731634
-44.029017,100,330.080668
-41.947313,100,332.487579
-57.226615,100,334.897447
-44.52333,100,337.317457
-51.412706,100,339.742066
-42.40317,100,342.20025
-36.093546,100,344.675513
-53.489642,100,347.193746
-40.693039,100,349.659802
-46.523094,100,352.07373
-40.805487,100,354.458013
-56.925574,100,356.800809
-59.474164,100,359.176779
-49.088601,100,361.546334
-55.441159,100,363.80869
-44.213638,100,366.205528
-37.958663,100,368.592922
-47.101371,100,370.982742
-25.890678,100,373.709948
-34.641776,100,376.364055
-63.405965,100,378.959809
-45.195958,100,381.44958
-32.327936,100,383.872056
-37.960075,100,386.315745
-71.308563,100,388.699384
-29.766066,100,391.048019
-34.967887,100,393.417233
-52.970514,100,395.811258
-42.114357,100,398.175581
-39.623214,100,400.484628
-62.277889,100,402.839601
-31.270327,100,405.22513
-39.786021,100,407.66967
-32.765419,100,410.136827
-46.587638,100,412.604996
-36.667516,100,415.02238
-63.273457,100,417.361763
-50.569274,100,420.360556
-26.594299,100,422.791586
-38.418652,100,425.160519
-30.82498,100,427.611297
-47.485207,100,430.006483
-32.514768,100,432.408986
-48.283163,100,435.155285
-71.914229,100,437.708081
-67.331272,100,440.307637
-32.609143,100,442.757777
-23.612082,100,445.17465
-34.808097,100,447.627654
-40.972204,100,449.985191
-34.277193,100,452.38147
-52.920109,100,454.791607
-38.439769,100,457.195978
-36.474051,100,459.602913
-34.489195,100,462.020899
-32.853655,100,464.434081
-35.266297,100,466.964599
-41.134404,100,469.448407
-49.300625,100,471.956158
-47.827499,100,474.407472
-59.186812,100,476.85866
-25.131907,100,479.383649
-54.791819,100,481.770498
-40.503188,100,484.179135
-35.169373,100,486.46018
-35.807291,100,488.745777
-29.152806,100,491.004243
-32.24592,100,493.336848
-57.084955,100,495.988895
-50.851943,100,498.326918
-31.428177,100,500.759563
-27.924552,100,509.37046
-18.218691,100,511.857526
-44.080671,100,514.392034
-48.237872,100,516.816807
-46.501218,100,519.134862
-27.701363,100,524.444971
-44.464419,100,528.318375
-36.869994,100,530.642932
-41.18419,100,533.402841
-42.0523,100,535.927363
-33.669494,100,540.471022
-33.657895,100,552.365948
-33.403278,100,554.943114
-23.865884,100,557.450242
-37.409898,100,559.814108
-42.731091,100,562.284191
-25.811223,100,568.972263
-49.812142,100,571.234315
-33.513852,100,573.671777
-25.418449,100,576.143532
-56.733945,100,578.536738
-40.790277,100,581.628944
-32.156298,100,583.949506
-51.18537,100,586.199856
-47.360229,100,588.631325
-48.192582,100,591.11973
-44.107576,100,593.539403
-44.131813,100,595.996371
-27.260107,100,598.440636
-30.485491,100,600.817203
-89.83085,100,603.457674
-37.229249,100,605.888936
-38.310789,100,608.292114
-40.436378,100,610.673757
-50.155645,100,613.39641
-26.922696,100,617.290216
-39.952022,100,619.811018
-37.680348,100,623.202715
-42.72291,100,625.917137
-32.378687,100,628.116796
-51.534377,100,630.541082
-51.749911,100,633.967927
-37.547867,100,637.658567
-45.786646,100,642.616216
-31.610202,100,644.900491
-35.712274,100,647.315111
-29.815646,100,649.74876
-61.422343,100,652.4288
-32.781399,100,656.981875
-32.658442,100,659.458125
-24.462916,100,662.020686
-28.970162,100,750.492187
-19.434574,100,756.126663
-31.971507,100,759.67897
-46.157433,100,762.133051
-40.482337,100,765.128147
-39.903915,100,767.575594
-69.635102,100,770.312917
-40.530578,100,772.768543
-25.193455,100,775.19002
-33.742196,100,777.66436
-42.789038,100,780.213101
-29.487913,100,782.659529
-31.289872,100,786.890067
-29.03103,100,790.063391
-30.115894,100,792.388537
-30.006517,100,794.63964
-30.520098,100,797.264325
-34.818448,100,799.556473
-36.405755,100,801.811369
-33.008948,100,804.210717
-34.835142,100,807.284436
-34.381868,100,809.666367
-34.231226,100,812.047742
-51.159495,100,814.473737
-58.741593,100,817.807126
-31.276935,100,820.150515
-53.441334,100,822.605341
-34.317005,100,825.852651
-29.402511,100,828.778286
-56.391811,100,831.19647
-52.72711,100,835.009921
-40.333264,100,837.407331
-33.799841,100,839.809384
-34.367914,100,842.185581
-30.929875,100,844.564836
-28.674615,100,846.955801
-38.212617,100,849.483092
