#{"t_start": 1769207362.3693278, "env_id": "parking-basic-boundary-v0"}
r,l,t
0,100,104.032681
0,100,108.314399
-14,100,112.564361
0,100,116.892755
0,100,121.222693
0,100,125.537666
0,100,129.84584
0,100,134.109849
0,100,138.424001
-8,100,142.851509
0,100,147.275643
0,100,151.573331
-1,100,155.973175
0,40,157.760385
-10,100,162.0606
0,100,166.384135
0,23,167.383472
-27,100,171.744855
-5,100,176.138659
-6,21,177.090012
0,23,178.160183
-62,100,182.580818
-81,100,187.134978
-1,24,188.199463
-80,100,192.635062
-27,100,197.131518
0,33,198.560287
-1,22,199.517656
-3,25,200.609128
-2,24,201.655823
-4,23,202.723746
0,18,203.530519
-82,100,208.050839
-4,40,209.824636
-12,40,211.593683
-51,75,215.004452
-2,17,215.786262
0,13,216.381951
0,15,217.063235
-2,16,217.777676
-66,100,222.317972
-34,87,226.115366
-4,15,226.777757
-46,100,231.118143
-6,38,232.755896
0,12,233.274559
-2,21,234.191685
-78,100,238.600817
-1,49,240.739035
-5,21,241.669082
-55,100,246.125785
-5,20,246.996701
-4,21,247.918577
0,27,249.112578
0,17,249.869411
-6,30,251.166996
-33,100,255.486808
0,16,256.196314
-10,100,260.527213
0,18,261.309061
-53,100,265.780411
0,24,266.87955
-5,100,271.381006
-74,100,275.629149
-71,100,280.035694
0,14,280.686525
-3,21,281.635221
-66,100,285.99032
0,22,286.943064
-6,20,287.815606
0,20,288.694045
0,18,289.496237
-4,22,290.469925
0,14,291.085057
-25,100,295.490739
-63,100,299.872143
-5,26,301.016625
-89,100,305.507231
-41,100,309.886537
-4,22,310.89439
-2,20,311.782881
-49,100,316.13269
-7,40,317.884361
0,18,318.671978
-62,100,323.170558
-12,100,327.715375
-1,23,328.754561
0,25,329.853572
-7,41,331.65312
-2,38,333.301662
-89,100,337.775947
0,16,338.485679
-6,26,339.658212
0,14,340.299583
-8,100,344.69751
-6,100,349.085385
-7,32,350.493235
-4,26,351.634235
-5,100,355.939382
-33,100,360.28024
-7,40,362.00581
0,13,362.58274
0,15,363.231083
-3,18,364.025952
-4,23,365.034982
-9,100,369.390877
-11,100,373.86544
-2,26,377.2358
-7,100,381.734121
-2,21,382.774168
-6,27,384.005206
0,48,386.129958
-2,15,386.787384
-16,100,391.158067
-7,100,395.526566
-6,18,396.33605
-11,100,400.741325
-3,17,401.494291
-11,100,405.970727
-3,14,406.607239
-4,23,407.622365
-5,28,408.847842
0,28,410.081171
-6,100,414.449101
-76,100,418.919103
-63,100,423.380773
-6,100,427.647477
-5,19,428.490593
-3,20,429.352918
-2,23,430.374619
-2,23,431.378362
0,17,432.139786
-21,100,436.566774
-5,100,441.084478
-6,19,441.937701
-9,100,446.545174
-1,21,447.46578
-12,100,451.814552
-65,100,456.347462
-1,23,457.359641
-13,100,461.850878
-27,100,466.254341
-8,19,467.141549
0,19,468.00764
0,25,469.121149
0,22,470.089364
-7,100,474.448973
