#{"t_start": 1769207362.3901854, "env_id": "parking-basic-boundary-v0"}
r,l,t
0,100,104.025566
0,100,108.306142
0,100,112.556301
0,100,116.88463
0,100,121.21579
-3,26,122.337399
0,100,126.67824
0,100,130.954335
-2,100,135.229656
0,100,139.539942
0,100,143.989706
-6,100,148.395075
0,100,152.699604
-4,100,157.126153
0,100,161.442786
-22,100,165.767339
-14,100,170.115974
-81,100,174.512806
-79,100,178.998027
-66,100,183.405666
-2,43,185.355646
-5,23,186.440614
0,21,187.394203
0,44,189.340383
-78,100,193.799838
-49,100,198.245476
-7,45,200.200894
-59,100,204.667626
-82,100,209.201993
-3,21,210.13484
0,21,211.050954
-77,100,215.583034
-8,100,220.116567
-4,22,221.128427
-5,17,221.896125
0,34,223.39188
-24,100,227.758582
0,30,229.03162
0,16,229.736851
-5,22,230.701008
0,19,231.531235
-1,18,232.310498
-6,72,235.44676
-3,22,236.420908
-12,100,240.821302
0,14,241.435872
0,23,242.449324
-4,17,243.225897
-32,100,247.638195
-6,100,252.014426
-55,100,256.36447
-6,100,260.693763
-6,26,261.817682
-2,16,262.55044
-45,100,267.05939
-4,17,267.825753
0,18,268.637506
0,14,269.276993
-53,100,273.567117
-75,100,277.952043
-45,100,282.420843
0,15,283.067532
0,21,283.990944
-4,20,284.856342
0,15,285.506536
-10,100,289.878633
-5,67,292.831819
-4,21,293.766024
-4,14,294.383232
-9,33,295.827583
0,20,296.711055
-90,100,301.103582
-2,22,302.044882
-6,100,306.540471
-7,26,307.668339
-2,15,308.330637
0,100,312.792653
-49,100,317.132435
-79,100,321.552332
-68,100,326.09782
-79,100,330.581857
-64,100,334.996378
-72,100,339.464376
0,17,340.242082
-12,100,344.64025
-4,18,345.426027
0,48,347.528027
-31,42,349.391399
-6,16,350.087715
-10,100,354.438648
-2,18,355.207153
-6,24,356.245332
-4,22,357.195122
-2,20,358.055246
-4,24,359.09261
0,19,359.912215
-55,100,364.269847
0,15,364.924496
-4,41,366.733349
-7,38,368.376814
0,16,369.07398
-5,22,370.038202
-8,100,374.530762
-2,17,377.504532
0,17,378.267288
-6,100,382.86801
0,18,383.67747
-5,20,384.587999
-10,100,388.956827
-15,100,393.331361
-14,100,397.714947
-10,100,402.135414
-1,23,403.141872
-7,100,407.656141
-15,100,412.041748
0,13,412.602513
-8,100,417.007812
-9,31,418.424562
-84,100,422.877236
0,20,423.798367
-5,100,428.038849
-1,40,429.79477
-7,100,434.170992
-2,49,436.370316
-2,38,438.075869
0,18,438.862904
0,20,439.737322
-1,23,440.843724
-11,100,445.528425
-7,100,449.828279
0,13,450.40308
-12,100,454.856559
-19,100,459.366734
-6,39,461.126674
