#{"t_start": 1769207362.3848436, "env_id": "parking-basic-boundary-v0"}
r,l,t
0,100,104.024575
0,100,108.305201
0,100,112.555382
0,100,116.883689
0,100,121.214808
0,100,125.528527
0,100,129.836803
0,100,134.100748
0,100,138.414997
0,100,142.842643
-23,100,147.26675
-1,100,151.564299
-79,100,155.964741
0,100,160.333123
0,100,164.639714
-7,100,168.966891
-45,100,173.369679
-4,27,174.566457
-39,100,179.044535
-66,100,183.450593
-5,26,184.60345
0,100,189.160039
-51,100,193.610408
-3,22,194.637096
-4,100,199.011672
-83,100,203.472564
-65,100,207.992435
-78,100,212.434319
0,25,213.565135
0,16,214.319728
-1,21,215.271514
-7,99,219.765065
-3,16,220.493928
-3,22,221.48915
0,26,222.654445
-72,100,227.029941
-4,26,228.144714
-1,37,229.734881
-1,33,231.194382
0,67,234.084859
-5,100,238.49974
0,16,239.198311
-9,22,240.160009
-2,14,240.774665
-66,100,245.216974
-2,17,245.980006
-54,100,250.389775
-4,18,251.158628
0,15,251.800959
0,21,252.697942
-1,14,253.306815
-5,41,255.082571
-28,100,259.448961
0,36,260.99515
-60,100,265.434366
0,17,266.222965
-67,100,270.771454
0,15,271.414446
0,100,275.663784
-4,28,276.888765
-88,100,281.358397
0,100,285.723457
-57,100,290.105915
-88,100,294.520747
-74,100,298.893375
-5,27,300.083395
-1,17,300.829642
0,12,301.361714
-71,100,305.846737
-34,100,310.253139
-6,36,311.862264
-3,25,312.967858
-7,100,317.304927
-3,100,321.725733
-8,100,326.292568
-6,29,327.610735
0,15,328.296875
-36,100,332.67151
-5,19,333.519357
-4,20,334.418921
-42,100,338.867687
-10,100,343.326169
-1,28,344.552233
-5,32,345.958422
0,16,346.650517
-1,17,347.396454
-5,34,348.881016
-5,22,349.868493
-88,100,354.215371
-6,100,358.528928
-6,22,359.490332
-17,100,363.831437
-3,24,364.877849
0,22,365.849944
0,18,366.644115
0,25,367.730945
-5,15,368.374781
-78,100,372.796355
0,18,373.622133
-6,24,376.904654
-11,100,381.393731
-6,100,385.977076
-6,25,387.081428
0,18,387.865576
-10,100,392.233133
-15,100,396.622498
-8,100,401.034838
-4,20,401.916696
-82,100,406.419553
-9,100,410.823814
-7,20,411.701787
0,21,412.600828
-4,23,413.60827
-2,16,414.3081
0,20,415.181299
-6,100,419.654774
0,31,421.025467
-4,27,422.242
-63,100,426.58721
-3,18,427.343808
-2,15,427.981954
-8,100,432.397195
-23,100,436.829895
-16,100,441.34378
-6,19,442.19752
0,38,444.07354
-7,100,448.455973
-3,100,452.822808
-2,18,453.62932
-16,100,458.164688
-4,18,458.970243
-1,23,460.003991
-6,17,460.765067
-3,24,461.842727
-9,100,466.245422
-14,100,470.749319
0,17,471.499484
-3,16,472.197016
-10,100,476.540077
0,22,477.631397
0,34,479.119009
0,18,479.931955
-6,32,481.396434
