#{"t_start": 1769207362.3959758, "env_id": "parking-basic-boundary-v0"}
r,l,t
0,100,104.026226
0,100,108.306768
0,100,112.55702
0,100,116.885152
0,100,121.216172
0,100,125.528489
-9,26,126.679519
0,100,130.954928
-27,100,135.230644
0,100,139.540876
-24,100,143.991323
0,100,148.395944
-24,100,152.700254
-3,18,153.48586
-85,100,157.922245
-1,100,162.221401
-6,62,164.901509
0,100,169.228397
-10,100,173.631874
-27,100,178.092551
-44,100,182.52128
-70,100,187.075269
-82,100,191.519318
-75,100,196.050104
-1,21,196.947309
0,57,199.401386
-64,100,203.859518
-55,100,208.395009
0,20,209.29081
0,14,209.903065
-4,23,210.915175
-47,90,214.994551
0,13,215.584662
-8,100,220.117232
0,30,221.490285
-3,15,222.16421
-9,100,226.543312
-6,61,229.163702
-9,18,229.958142
0,41,231.746246
-87,100,236.105152
-1,18,236.915614
-2,41,238.721569
-8,100,243.132565
-2,18,243.929211
-6,100,248.328574
0,15,249.00434
-8,100,253.351592
-5,17,254.085988
-3,38,255.742572
-5,33,257.177456
-7,46,259.183279
-1,21,260.077593
-3,15,260.738175
-7,88,264.607392
-5,18,265.4349
-20,100,270.017182
-4,100,274.26124
-72,100,278.647078
-5,17,279.387444
-81,100,283.85093
0,15,284.510357
0,16,285.20153
0,25,286.278802
-28,100,290.672713
-78,100,295.096115
-9,19,295.918705
-5,23,296.924631
-6,31,298.270624
-4,100,302.661986
-6,19,303.532488
-12,100,307.975454
-86,100,312.440093
-48,100,316.789788
-4,16,317.478854
-7,100,321.902527
-3,18,322.751623
-86,100,327.291226
-78,100,331.728992
-7,46,333.736928
-64,100,338.206085
-5,27,339.414557
0,15,340.094584
0,21,341.035206
-84,100,345.426993
-5,20,346.303858
0,19,347.129386
-75,100,351.532686
-19,100,355.838323
-9,100,360.165855
0,18,360.960734
-5,26,362.080771
-9,18,362.874073
-62,100,367.255563
-6,100,371.632203
-63,100,378.372959
-90,100,382.959622
-2,36,384.589597
-3,16,385.28432
-5,100,389.676911
-6,100,394.017598
-4,18,394.80559
-6,26,395.970888
-38,52,398.254969
-6,23,399.249191
-10,100,403.691665
0,17,404.451964
0,17,405.230011
-5,19,406.105387
0,13,406.682941
0,26,407.829326
-6,30,409.150611
0,15,409.803898
-5,100,414.173236
-1,39,415.88018
0,24,416.95896
-7,100,421.441714
-7,25,422.567364
-4,19,423.415959
-6,100,427.679103
0,17,428.429124
-13,100,432.826216
0,31,434.172401
-7,100,438.643636
0,21,439.559254
0,24,440.698178
-1,34,442.243403
0,34,443.911016
0,32,445.399769
0,38,447.020087
-5,100,451.366089
-14,100,455.883358
-9,100,460.348729
-6,28,461.618675
-2,28,462.868011
0,17,463.614712
0,13,464.188027
-7,100,468.654312
-4,16,469.374884
0,13,469.940177
-16,100,474.305999
-4,21,475.226024
-5,22,476.182434
0,100,480.742719
-5,49,482.979951
-14,100,487.352563
-6,17,488.08672
0,100,492.457185
0,15,493.11697
0,36,494.6913
-5,21,495.620144
0,100,500.195869
0,14,500.825963
0,21,501.777974
0,23,502.853009
-6,100,507.191272
-10,100,511.563259
-6,15,512.262211
-6,39,514.009672
0,38,515.726213
-4,19,516.572486
-5,16,517.261169
0,38,518.922539
0,100,523.33502
0,20,524.203025
0,25,525.285627
-7,100,529.63595
-1,17,530.392264
-12,100,534.830992
0,24,535.952167
-3,28,537.180004
-7,100,541.574686
-3,23,542.564239
-9,100,547.429713
0,14,548.080804
0,43,550.010197
-3,23,551.020833
-6,29,552.29459
-18,100,556.593015
0,100,560.902112
-1,17,561.635225
0,19,562.490626
-10,100,566.947212
0,18,567.74754
0,39,569.437511
-1,22,570.386318
-6,100,574.757648
-23,100,579.105485
0,45,581.065076
-8,100,585.43559
0,38,587.117876
-1,29,588.410335
-10,100,592.763982
0,19,593.601676
-10,100,597.985021
0,21,598.909317
-3,17,599.664746
-2,23,600.650659
0,24,601.697788
-56,100,606.180874
-3,26,607.321467
0,34,608.797704
-3,21,609.724072
-3,23,610.705325
-18,100,615.034705
-5,22,616.001006
0,36,617.585807
-4,22,618.55123
-1,31,619.931021
-8,100,624.287632
-7,83,627.938303
-4,100,632.299809
-6,100,636.638962
-9,100,640.993863
-5,17,641.759152
-1,48,643.841315
-12,100,648.179295
0,33,649.603209
-1,17,650.333176
0,29,651.578485
0,27,652.759778
0,19,655.118702
-4,20,656.039138
-7,100,660.606133
-1,18,661.425511
-5,15,662.092806
0,17,662.822317
-10,100,667.195612
0,22,668.178458
0,16,668.892232
-9,44,670.823306
-5,100,675.176201
0,18,675.962745
0,21,676.880406
-6,22,677.847997
0,37,679.424206
-4,17,680.165661
-2,40,681.904862
0,39,683.720613
0,13,684.31233
0,21,685.274689
-3,19,686.203017
0,16,686.943833
0,16,687.695612
0,17,688.464369
0,38,690.116385
0,13,690.700706
0,12,691.232049
0,21,692.185704
0,14,692.791781
-3,28,694.009206
-5,43,695.884729
-6,34,697.366631
0,25,698.451762
0,29,699.740936
-4,24,700.828634
-6,33,702.250291
-20,100,706.602126
0,19,707.436368
-2,15,708.079384
0,22,709.047365
0,14,709.670176
-8,100,713.988826
-1,21,714.883422
0,17,715.625216
-2,21,716.523769
0,13,717.095756
0,12,717.61407
0,16,718.313027
0,31,719.667489
-2,25,720.771936
0,17,721.556571
0,13,722.145103
