episode_id,seed,success,episode_length,episode_reward,basic_reward,mean_speed,mean_lane,total_norm_cost
0,42,1,40,17.75,44.02353933947235,22.512665452373327,0.8875,4.5
1,43,1,40,20.0,43.62931814928842,22.26832384330526,1.0,0.0
2,44,1,40,18.5,43.029628594818874,21.8896077505482,0.925,3.0
3,45,1,40,20.0,42.430331753554505,21.518957345971565,1.0,0.0
4,46,1,40,17.75,43.82822224498237,22.392638903113976,0.8875,4.5
11,53,1,40,19.75,44.230331729953136,22.642410973611707,0.9875,0.5
10,52,1,40,20.0,43.430331753554505,22.14395734597156,1.0,0.0
6,48,1,40,13.75,41.22739298403997,20.764653804738536,0.6875,12.5
5,47,1,40,19.5,40.228049088155245,20.14253068009703,0.975,1.0
8,50,1,40,19.75,41.02853017014632,20.642831356341443,0.9875,0.5
7,49,1,40,19.75,41.62839840434078,21.017749002712982,0.9875,0.5
9,51,1,40,20.0,43.029396493563745,21.893372808477345,1.0,0.0
13,55,1,40,20.0,40.0303317535545,20.018957345971565,1.0,0.0
12,54,1,40,19.75,42.19408266732419,21.37130166707761,0.9875,0.5
17,59,1,40,20.0,42.8303317535545,21.768957345971565,1.0,0.0
15,57,1,40,19.75,41.22395526146562,20.764972038416012,0.9875,0.5
16,58,1,40,20.0,44.02939766843072,22.518373542769194,1.0,0.0
14,56,1,40,20.0,40.629396514701746,20.3933728216886,1.0,0.0
18,60,1,40,19.5,41.6283991088609,21.016928141437237,0.975,1.0
19,61,1,40,19.0,40.22939651470176,20.138189969830677,0.95,2.0
24,66,1,40,19.25,40.0303317535545,20.017209261874132,0.9625,1.5
22,64,1,40,19.75,42.62765833195681,21.642286457473,0.9875,0.5
23,65,1,40,18.5,41.82770656511828,21.139945818014944,0.925,3.0
25,67,1,40,19.25,42.37418592569478,21.483044901958415,0.9625,1.5
21,63,1,40,20.0,40.82939832963657,20.518373956022856,1.0,0.0
20,62,1,40,17.25,41.627056912733764,21.01568846674391,0.8625,5.5
26,68,1,40,20.0,41.829396514660516,21.143372821662826,1.0,0.0
27,69,1,40,18.25,42.02769091510635,21.266482285617435,0.9125,3.5
30,72,1,40,20.0,40.23033175355451,20.143957345971565,1.0,0.0
28,70,1,40,18.75,41.82868762941317,21.140562466110147,0.9375,2.5
29,71,1,40,20.0,45.23033175355438,23.268957345971497,1.0,0.0
31,73,1,40,20.0,46.426406715865404,24.016504197415884,1.0,0.0
35,77,1,40,18.25,43.428690132352926,22.13911894193508,0.9125,3.5
34,76,1,40,20.0,41.82939651470094,21.143372821688086,1.0,0.0
32,74,1,40,19.5,42.228397155340616,21.391926931890573,0.975,1.0
33,75,1,40,20.0,41.4293983296861,20.89337395605381,1.0,0.0
39,81,0,18,7.75,19.328445296431646,21.88350735617099,0.8611111111111112,2.5
36,78,1,40,20.0,41.8303317535545,21.143957345971565,1.0,0.0
38,80,1,40,19.0,42.029622965720215,21.267693051974327,0.95,2.0
37,79,1,40,19.5,41.42804908815525,20.89253068009703,0.975,1.0
40,82,1,40,18.75,41.62937640052638,21.017538948728163,0.9375,2.5
41,83,1,40,20.0,41.8303317535545,21.143957345971565,1.0,0.0
43,85,1,40,20.0,41.430331753554505,20.893957345971565,1.0,0.0
42,84,1,40,20.0,40.829335307863246,20.518334567414527,1.0,0.0
44,86,1,40,18.5,42.42937203656022,21.515986628604065,0.925,3.0
45,87,1,40,18.5,45.82870628459007,23.642116891500418,0.925,3.0
46,88,1,40,20.0,46.22939832968528,23.8933739560533,1.0,0.0
47,89,1,40,19.25,42.22828020557466,21.392675128484164,0.9625,1.5
48,90,1,40,19.75,42.62761421791584,21.642258886197393,0.9875,0.5
49,91,1,40,20.0,41.8303317535545,21.143957345971565,1.0,0.0
50,92,1,40,20.0,40.628879637317695,20.39304977332356,1.0,0.0
51,93,1,40,20.0,40.6303317535545,20.393957345971565,1.0,0.0
52,94,1,40,19.75,41.02839840304392,20.642749001902455,0.9875,0.5
53,95,1,40,20.0,47.229398171864354,24.51837385741522,1.0,0.0
55,97,1,40,17.75,41.42561675076081,20.890186030977805,0.8875,4.5
54,96,1,40,20.0,45.23033173308505,23.268957333178157,1.0,0.0
56,98,1,40,17.5,45.62704619047483,23.51608256911981,0.875,5.0
57,99,1,40,20.0,45.030331753554506,23.14395734597157,1.0,0.0
59,101,1,40,18.5,42.22844526156225,21.392778288476404,0.925,3.0
58,100,1,40,19.5,42.226741897185846,21.391713685741145,0.975,1.0
60,102,1,40,19.75,41.2293983296861,20.766827583756974,0.9875,0.5
61,103,1,40,20.0,42.82939766774183,21.768373542338637,1.0,0.0
62,104,1,40,19.0,41.628445560843666,21.01777847552729,0.95,2.0
63,105,1,40,19.75,45.998593354265964,23.749120846416233,0.9875,0.5
64,106,1,40,17.75,41.62844604526839,21.01695424189073,0.8875,4.5
65,107,1,40,17.5,44.62799775954137,22.89167406335982,0.875,5.0
66,108,1,40,19.25,43.62869182225499,22.267932388909372,0.9625,1.5
67,109,1,40,20.0,45.629398329324886,23.518373955828054,1.0,0.0
68,110,1,40,19.5,45.427573281639226,23.39068692895267,0.975,1.0
69,111,1,40,20.0,41.82592936175797,21.14120585109874,1.0,0.0
