#{"t_start": 1768967379.8534307, "env_id": "parking-basic-v0"}
r,l,t
-31.820776,100,32.380107
-46.04111,100,35.331827
-40.754398,100,38.26377
-70.172063,100,41.330045
-55.005369,100,44.336888
-40.353255,100,47.533182
-58.059277,100,50.586698
-22.156662,100,53.989893
-43.646509,100,56.997129
-46.954744,100,59.715456
-36.291257,100,62.609469
-29.132005,100,65.562716
-31.774437,100,68.661619
-55.472592,100,71.919119
-62.873423,100,74.655238
-64.734766,100,77.674912
-42.334152,100,80.451013
-41.046467,100,83.528773
-59.897928,100,86.635311
-36.755928,100,89.696966
-84.911531,100,92.695703
-65.542329,100,95.541205
-57.153176,100,98.230407
-40.917259,100,101.283882
-39.515778,100,104.517034
-41.890058,100,107.676258
-51.355073,100,110.902253
-39.425405,100,114.103018
-30.95838,100,117.523049
-35.137263,100,120.733113
-38.045101,100,123.816557
-49.362228,100,126.852145
-66.370244,100,129.873724
-39.556575,100,132.897393
-65.751162,100,135.972888
-44.554852,100,138.949823
-54.17378,100,141.914453
-71.677836,100,145.46196
-59.964297,100,149.164076
-48.519404,100,152.303023
-94.524593,100,155.316205
-84.449125,100,158.346157
-101.860563,100,161.907106
-80.042358,100,164.859547
-57.987707,100,167.872125
-57.806798,100,170.964403
-36.779714,100,174.015871
-28.622925,100,177.127399
-25.20075,100,180.272599
-23.888862,100,183.266152
-38.054012,100,186.263751
-49.879698,100,189.131118
-46.454922,100,192.075973
-59.130351,100,195.067792
-37.405655,100,197.990039
-35.792926,100,200.935711
-31.972535,100,204.062066
-53.270166,100,207.123861
-59.707572,100,210.168087
-40.288737,100,213.316953
-81.873719,100,216.386547
-39.983979,100,219.338076
-27.446261,100,222.390783
-66.76885,100,225.388813
-70.816699,100,228.328889
-56.649789,100,231.525596
-60.138704,100,234.672613
-36.223446,100,237.741982
-55.992785,100,240.691426
-39.82411,100,243.64193
-62.621435,100,246.543484
-40.331304,100,249.453239
-48.786042,100,252.398404
-78.238807,100,255.358899
-46.214842,100,258.33199
-96.007892,100,261.434819
-59.695469,100,264.470307
-62.248489,100,267.968032
-68.987212,100,271.1178
-42.902395,100,274.219415
-50.688868,100,277.03873
-31.359119,100,280.081561
-35.167722,100,283.011915
-62.380849,100,286.012698
-31.296463,100,288.958706
-33.842947,100,292.037066
-55.322666,100,295.039475
-45.406953,100,298.222546
-85.603943,100,301.354865
-44.517522,100,304.256499
-71.852532,100,307.37579
-77.24706,100,310.276145
-37.167097,100,313.316905
-54.305398,100,316.260829
-38.945932,100,319.274971
-62.912565,100,322.288333
-55.404554,100,325.345315
-54.992053,100,328.278393
-27.497468,100,331.216353
-56.019796,100,334.032086
-44.094145,100,337.027821
-58.163043,100,340.043313
-69.448664,100,343.002515
-35.449209,100,345.865772
-40.878077,100,348.721047
-43.253457,100,352.116266
-31.828552,100,355.238849
-50.310437,100,358.214674
-55.93723,100,361.074423
-47.656396,100,363.998678
-70.332229,100,366.853085
-53.985297,100,369.671404
-51.119552,100,372.539849
-61.515022,100,375.367251
-67.024209,100,378.20099
-55.93818,100,381.189576
-5.495328,20,381.815226
-61.14256,100,384.757751
-74.750199,100,387.753096
-67.411469,100,390.831405
-59.449118,100,393.690137
-50.05495,100,396.562685
-23.528805,100,399.411665
-56.059613,100,402.396482
-57.176001,100,405.328981
-48.630098,100,408.535767
-75.181051,100,411.514626
-60.942153,100,414.569755
-34.746416,100,417.39791
-50.076121,100,420.358056
-51.864832,100,423.324678
-51.984907,100,426.299944
-48.691808,100,429.241976
-65.82149,100,432.322603
-100.241021,100,435.403199
-50.455768,100,438.356011
-49.950838,100,441.338686
-68.515973,100,444.362293
-55.546785,100,447.520071
-29.173308,100,450.534475
-33.781651,100,453.439594
-70.44976,100,456.278662
-43.218776,100,459.138456
-49.083109,100,462.382642
-36.056053,100,465.35233
-31.42421,100,468.186024
-24.795629,100,471.234396
-30.999917,100,474.528668
-37.97384,100,477.601166
-47.534976,100,480.784674
-49.387914,100,483.975166
-32.612072,100,486.948875
-36.379589,100,489.751807
-46.120151,100,492.669288
-30.479514,100,495.653578
-53.670882,100,498.604862
-62.730889,100,501.800884
-54.504112,100,504.63321
-48.460663,100,507.623186
-65.015943,100,510.594872
-43.356717,100,513.722375
-56.255246,100,516.72538
-40.242679,100,519.64732
-33.01268,100,522.682724
-36.922042,100,525.672841
-42.997115,100,528.610285
-48.591611,100,531.626224
-37.143624,100,534.767109
-33.418473,100,537.822189
-58.832104,100,541.010828
-47.486015,100,544.86367
-34.337905,100,547.861344
-33.690051,100,550.685317
-74.196195,100,553.62568
-74.38781,100,556.60274
-34.566607,100,559.581869
-39.277428,100,562.653032
-66.571906,100,565.700701
-60.274358,100,568.655014
-63.199132,100,571.852196
-34.095513,100,575.081703
-61.720102,100,578.118903
-42.680305,100,581.114442
-47.215374,100,584.092235
-31.136452,100,586.98832
-43.308463,100,589.797233
-47.952992,100,592.77574
-38.698708,100,595.981642
-53.729016,100,599.071098
-40.570167,100,602.191914
-51.544927,100,605.444388
-48.593897,100,608.423726
-47.352172,100,611.379467
-50.572562,100,614.289233
-61.2299,100,617.257549
-44.075064,100,620.231463
-62.986278,100,623.256468
-41.411185,100,626.204478
-13.018114,37,627.361911
-46.653613,100,630.270215
-56.689825,100,633.140045
-46.348202,100,636.177984
-48.303048,100,639.054434
-52.084697,100,641.950818
-52.733102,100,644.864993
-50.866806,100,647.802454
-33.172634,100,650.751045
-52.127943,100,654.239259
-65.862441,100,657.205063
-69.015304,100,660.33426
-41.763926,100,663.39605
-49.438347,100,666.449188
