#{"t_start": 1768967339.6501427, "env_id": "parking-basic-v0"}
r,l,t
-32.625822,80,71.960764
-40.724561,100,74.938651
-23.842475,100,77.868468
-6.980979,28,78.765111
-38.222661,100,81.833206
-82.70089,100,84.852478
-53.092658,100,88.041645
-37.689631,100,91.062004
-28.285211,100,94.435971
-30.62359,100,97.453456
-63.88994,100,100.228841
-35.225057,100,103.067603
-38.973279,100,106.065552
-66.417086,100,109.179285
-61.736956,100,112.407076
-31.051622,100,115.099674
-42.446634,100,118.110807
-66.040177,100,120.887237
-65.673931,100,124.002274
-37.418466,100,127.105176
-52.489933,100,130.159208
-36.210441,100,133.147618
-52.314705,100,135.971597
-38.747087,100,138.727468
-55.662569,100,141.75224
-59.546891,100,145.044697
-26.108669,100,148.184174
-21.638466,100,151.410592
-56.282077,100,154.602821
-46.723196,100,158.004145
-45.28259,100,161.233344
-56.167463,100,164.261844
-53.078025,100,167.301856
-61.565957,100,170.3623
-61.953767,100,173.397355
-66.54503,100,176.418293
-63.825981,100,179.411768
-48.695087,100,182.449904
-35.844122,100,185.96301
-44.604219,100,189.718566
-81.933899,100,192.791828
-101.540065,100,195.794588
-71.546785,100,198.805666
-61.166076,100,202.356946
-44.678924,100,205.337589
-54.920432,100,208.337449
-61.196631,100,211.434909
-30.446878,100,214.494609
-48.453158,100,217.593035
-67.491952,100,220.737236
-32.800077,100,223.818113
-36.632215,100,226.718479
-68.65954,100,229.604133
-40.971668,100,232.536736
-23.662416,100,235.530759
-58.562914,100,238.451006
-65.685623,100,241.425277
-61.713765,100,244.54396
-41.520979,100,247.588948
-31.496836,100,250.655624
-66.015205,100,253.792509
-55.843316,100,256.842893
-39.885619,100,259.806345
-62.632227,100,262.853529
-40.702445,100,265.860571
-59.542039,100,268.792243
-53.366068,100,271.987839
-55.966422,100,275.143991
-46.75041,100,278.222184
-43.374523,100,281.147722
-53.082871,100,284.083199
-56.716797,100,286.998783
-38.61946,100,289.9141
-61.675014,100,292.853812
-35.199168,100,295.811677
-33.852492,100,298.861853
-74.248201,100,301.898892
-64.720874,100,304.97647
-60.183841,100,308.448617
-49.356413,100,311.588518
-78.119825,100,314.663312
-29.966224,100,317.506792
-57.500162,100,320.538738
-84.590085,100,323.458139
-26.64369,100,326.470567
-52.351018,100,329.39449
-44.969465,100,332.493181
-44.446421,100,335.524614
-53.958777,100,338.715861
-83.735687,100,341.804897
-66.558337,100,344.727473
-75.746212,100,347.820054
-43.656971,100,350.741256
-72.00107,100,353.777183
-68.665696,100,356.741409
-45.703801,100,359.742875
-55.234629,100,362.777696
-82.68318,100,365.796709
-51.757951,100,368.74769
-40.326887,100,371.671311
-54.028204,100,374.569283
-52.17202,100,377.481474
-53.187431,100,380.508403
-57.892466,100,383.460108
-45.653393,100,386.33751
-39.903719,100,389.183183
-45.954187,100,392.591812
-49.704661,100,395.72059
-25.384758,100,398.681068
-52.752615,100,401.532898
-40.129204,100,404.454877
-67.500202,100,407.307685
-55.108211,100,410.130582
-42.830846,100,412.996826
-60.663475,100,415.821892
-54.873593,100,418.661389
-65.274532,100,421.663282
-69.510768,100,424.613707
-56.539182,100,427.597821
-48.613542,100,430.665742
-50.74365,100,433.551176
-43.543428,100,436.43673
-65.689617,100,439.252982
-45.315722,100,442.250815
-54.589033,100,445.159827
-69.742188,100,448.377342
-69.867731,100,451.358416
-45.052375,100,454.414653
-61.976656,100,457.273445
-40.101996,100,460.211138
-55.139591,100,463.173556
-55.925801,100,466.139306
-44.965293,100,469.099339
-69.984347,100,472.146174
-31.325165,100,475.244527
-38.608967,100,478.192505
-59.692499,100,481.163874
-35.944406,100,484.19914
-77.162962,100,487.353418
-41.251619,100,490.372848
-38.88821,100,493.292315
-34.691629,100,496.152823
-69.158396,100,498.978145
-50.6312,100,502.261156
-32.057866,100,505.207286
-62.693349,100,508.050999
-45.734019,100,511.034803
-60.262556,100,514.379816
-43.386967,100,517.40445
-41.825526,100,520.621045
-43.465896,100,523.822246
-35.6056,100,526.789408
-46.032854,100,529.632803
-55.473409,100,532.536744
-47.924089,100,535.492788
-46.604293,100,538.464975
-57.994115,100,541.612482
-71.404824,100,544.501203
-44.662828,100,547.454882
-76.11982,100,550.449242
-37.296579,100,553.567731
-34.27372,100,556.581295
-51.565039,100,559.50065
-47.717504,100,562.509623
-36.954124,100,565.521828
-55.321345,100,568.468162
-5.79082,27,569.275355
-56.551719,100,572.338641
-49.161162,100,575.449703
-55.836515,100,578.72773
-54.452806,100,581.711242
-49.996423,100,585.525065
-36.369852,100,588.5275
-52.644028,100,591.350879
-82.105321,100,594.282182
-42.401357,100,597.245959
-49.887241,100,600.255069
-51.604328,100,603.32876
-32.24249,100,606.322093
-60.660089,100,609.326637
-43.198149,100,612.589435
-49.337061,100,615.79048
-48.043714,100,618.787241
-39.30206,100,621.798722
-43.66559,100,624.747704
-8.775617,42,625.981088
-51.872948,100,628.809775
-34.263626,100,631.587539
-53.370878,100,634.893252
-40.896373,100,637.904779
-40.155258,100,641.04496
-44.090561,100,644.240612
-46.117144,100,647.403076
-51.378236,100,650.294907
-43.63184,100,653.279726
-29.291335,100,656.155411
-45.011676,100,659.136174
-61.383415,100,662.11913
-55.594505,100,665.12342
-46.435709,100,668.150796
-62.356047,100,671.054631
-47.623079,100,673.93706
-49.664935,100,676.945374
-65.17872,100,679.839549
-51.990017,100,682.745797
-51.82673,100,685.633493
-53.732451,100,688.593425
-33.675553,100,691.573923
-48.986788,100,695.026732
-50.921303,100,698.015527
-29.099664,100,701.139157
-53.413164,100,704.221243
-61.266387,100,707.248296
-38.490306,100,710.17773
-44.098571,100,713.631999
-93.263035,100,716.455052
-64.099329,100,719.175679
-71.878931,100,722.097014
-73.299407,100,725.219153
-92.749641,100,728.285446
-57.992274,100,731.247998
-77.039548,100,734.15415
-47.946613,100,737.076916
-69.74688,100,740.016895
-57.521423,100,742.984159
-46.555255,100,745.894422
-51.06405,100,748.845958
-32.322278,100,751.829401
-49.931944,100,755.145045
-26.835639,100,758.318752
-41.067554,100,761.483358
-34.270953,100,764.453219
-35.135501,100,767.223165
-31.808621,100,770.044459
-27.430983,100,772.92049
-42.983116,100,775.78757
-53.495276,100,778.747151
-44.644593,100,781.773307
-37.262909,100,786.330859
-55.186556,100,789.418392
-48.538032,100,792.275316
-73.261887,100,795.306013
-38.968208,100,798.210157
-42.076539,100,801.468783
-72.166001,100,804.291667
-77.00563,100,807.116833
-55.435093,100,810.104029
-23.118467,100,813.059596
-67.579549,100,816.150476
-69.648079,100,819.235114
-55.703238,100,822.901698
-68.82266,100,825.949544
-90.757093,100,828.947385
-100.742002,100,831.905468
-99.492973,100,834.876631
-84.652419,100,837.804203
-52.373511,100,840.669853
-59.08266,100,843.587399
-59.552735,100,846.492024
-10.991363,25,847.295634
-34.274761,100,850.403633
-55.426539,100,853.439211
-72.234848,100,856.386258
-40.532307,100,860.739207
-49.528611,100,863.707519
-52.623399,100,866.776945
-52.17361,100,869.67614
-35.62556,100,872.640599
-34.272948,100,875.950221
-40.956859,100,878.993682
-46.891727,100,881.96055
-31.663201,100,884.998939
-33.300163,100,887.920641
-35.896593,100,890.805046
-108.927444,100,893.520068
-51.395098,100,896.376284
-40.594789,100,899.174231
-35.904033,100,902.199517
-83.526339,100,905.12306
-52.775217,100,908.135856
-48.551975,100,911.180629
-37.522328,100,914.131758
-31.408686,100,917.037896
-45.326839,100,919.911545
-51.704148,100,922.848613
-44.935641,100,925.829767
-50.060344,100,928.819945
-55.082151,100,931.717355
-39.194042,100,934.557403
-57.105926,100,937.702968
-46.00294,100,940.631731
-37.594767,100,943.691386
-57.83733,100,946.681853
-35.174174,100,949.566677
-70.524009,100,952.547495
-32.160441,100,955.533657
-56.314662,100,958.45676
-54.762304,100,961.518083
-34.616868,100,964.650032
-61.580499,100,967.695401
-57.681695,100,970.820073
-52.51201,100,973.693171
-56.137227,100,976.613141
-47.341149,100,979.551052
-36.88028,100,982.478353
-92.819559,100,985.40547
-70.777357,100,989.209352
-63.157822,100,992.19192
-46.265418,100,995.275014
-55.558343,100,998.511752
-39.244452,100,1001.427519
-33.807629,100,1004.422131
-50.664365,100,1011.592444
-60.804007,100,1014.873192
-62.347063,100,1018.329034
-54.680603,100,1021.269075
-41.604583,100,1024.153095
-45.265221,100,1027.033916
-48.2824,100,1030.852695
-90.231499,100,1033.812795
-42.035283,100,1036.762595
-52.779384,100,1039.697065
-44.268397,100,1042.681797
-52.84775,100,1045.648627
-37.924127,100,1048.445353
-108.283031,100,1051.283984
-31.573161,100,1054.183485
-54.492103,100,1057.398046
-42.032624,100,1060.487216
-44.955202,100,1063.479445
-32.13403,100,1066.283871
-51.276719,100,1069.175973
-34.358887,100,1072.147485
-50.945821,100,1075.207191
-44.366674,100,1078.172657
-45.139472,100,1081.171725
-67.45809,100,1084.142608
-31.05727,100,1087.028223
-48.771431,100,1089.896199
-47.789561,100,1093.062001
-39.759051,100,1096.007351
-59.300186,100,1099.168935
-41.665848,100,1102.404727
-40.23097,100,1105.284544
-44.414072,100,1108.162447
-36.921881,100,1111.095235
-62.341808,100,1114.011446
-50.906163,100,1117.021943
