#{"t_start": 1766244680.1344473, "env_id": "parking-basic-v0"}
r,l,t
-54.144573,100,25.521808
-44.539647,100,27.686073
-59.853984,100,29.956779
-59.373671,100,32.225264
-60.633358,100,34.480815
-37.771573,100,36.747834
-45.060894,100,38.959082
-69.034129,100,41.226792
-58.839236,100,43.417159
-34.380092,100,45.622492
-51.93829,100,47.81021
-62.366762,100,49.96862
-66.803307,100,52.166368
-30.040098,100,54.369981
-64.123911,100,56.553488
-40.806016,100,58.744894
-90.493244,100,60.931694
-60.499621,100,63.118678
-46.479187,100,65.359444
-37.25193,100,67.555334
-68.269756,100,69.761906
-50.526319,100,72.185117
-52.714895,100,74.838642
-51.681332,100,77.038558
-64.620769,100,79.177274
-47.320259,100,81.574863
-51.711783,100,83.778204
-57.655227,100,86.20559
-51.375822,100,88.603707
-32.842224,100,90.930326
-61.635833,100,93.329505
-55.53247,100,95.504925
-77.936378,100,97.847814
-70.309944,100,100.041649
-87.90994,100,102.232974
-48.199907,100,104.48939
-58.667439,100,106.680109
-37.688221,100,109.027646
-32.163204,100,111.451908
-95.177581,100,113.84163
-70.337334,100,116.106771
-54.52728,100,118.490845
-89.708767,100,120.825024
-30.723645,100,123.117724
-42.520283,100,125.412364
-34.558043,100,127.697123
-57.510435,100,129.861149
-52.2778,100,132.017722
-37.536664,100,134.205491
-67.049577,100,136.403075
-50.880068,100,138.77167
-51.696289,100,141.143179
-55.564391,100,143.481958
-47.954901,100,145.780383
-51.356363,100,148.354387
-46.245096,100,150.794686
-52.697423,100,152.988928
-39.309283,100,155.197986
-34.475803,100,157.399084
-43.427779,100,159.623087
-43.080351,100,161.959483
-24.616931,100,164.148121
-34.523938,100,166.366848
-49.967197,100,168.614114
-45.121816,100,170.866069
-46.23204,100,173.083538
-29.672614,100,175.329141
-51.295746,100,177.582851
-35.306833,100,180.019908
-51.105933,100,182.400408
-56.562704,100,184.638268
-62.491071,100,186.849894
-43.680767,100,189.044724
-36.31226,100,191.313535
-28.474601,100,193.451419
-47.859675,100,195.792429
-48.986782,100,198.020602
-27.850473,100,200.314671
-25.096019,100,202.70242
-28.0583,100,205.074195
-50.007794,100,207.314766
-39.746789,100,209.60138
-28.304199,100,211.816854
-13.685638,40,212.721599
-40.844403,100,214.97978
-28.729263,100,217.293577
-30.87673,100,219.647193
-45.228751,100,221.753109
-46.106159,100,223.990626
-63.173402,100,226.353146
-43.37122,100,228.627487
-43.799149,100,230.903737
-29.980535,100,233.179042
-46.801158,100,235.426087
-56.254115,100,237.58739
-50.665742,100,239.838815
-30.31249,100,242.012168
-33.979628,100,244.153774
-39.04887,100,246.289177
-41.001638,100,248.494945
-45.768388,100,250.723709
-60.73514,100,253.030873
-56.544153,100,255.309361
-34.927013,100,257.687768
-45.098596,100,259.934228
-53.554789,100,262.341516
-41.06819,100,264.623696
-24.471827,100,267.003444
-33.95394,100,269.272157
-51.070529,100,271.528502
-34.271464,100,273.930079
-57.638692,100,276.24265
-35.057165,100,278.554211
-50.676531,100,280.829404
-33.52861,100,283.088379
-35.234201,100,285.481062
-68.969365,100,287.7903
-45.771223,100,290.020178
-50.176503,100,292.266511
-39.003715,100,294.473577
-44.361684,100,296.637027
-42.542906,100,298.832624
-31.244036,100,301.0084
-47.472636,100,303.162335
-48.902893,100,305.343241
-40.463367,100,307.600454
-50.439794,100,309.862745
-39.688595,100,312.276912
-68.888823,100,314.537238
-32.839364,100,316.909908
-50.403401,100,319.163893
-31.929834,100,321.527957
-54.105306,100,323.79527
-82.407601,100,326.123534
-58.146939,100,328.347001
-40.275007,100,330.734167
-26.946343,100,333.094763
-48.767017,100,335.492504
-31.085867,100,337.837575
-27.281603,100,340.172838
-34.53078,100,342.47368
-31.198379,100,344.800741
-63.131641,100,347.161716
-30.671298,100,349.42912
-66.083635,100,351.706907
-30.568799,100,353.899684
-34.957533,100,356.040649
-31.014251,100,358.247828
-25.185811,100,360.493226
-47.313057,100,362.677722
-45.137372,100,365.063694
-41.617376,100,367.276041
-32.726929,100,369.512634
-11.184464,40,370.383544
