#{"t_start": 1766244686.3356369, "env_id": "parking-basic-v0"}
r,l,t
-68.834178,100,19.320505
-66.403499,100,21.486464
-67.092672,100,23.756819
-56.594192,100,26.023956
-57.936862,100,28.279147
-42.286344,100,30.546474
-70.11617,100,32.757758
-53.892046,100,35.025465
-69.514817,100,37.215899
-31.837862,100,39.421261
-52.514863,100,41.608815
-42.102792,100,43.767497
-64.447912,100,45.965117
-48.05151,100,48.170141
-56.0405,100,50.352019
-43.527754,100,52.543572
-52.903285,100,54.730473
-55.504842,100,56.917369
-30.157126,100,59.158092
-50.07161,100,61.354036
-54.574576,100,63.560619
-66.961189,100,65.983572
-34.184091,100,68.637539
-70.949914,100,70.837238
-64.555508,100,72.976048
-52.750397,100,75.373631
-39.979545,100,77.577061
-76.103494,100,80.001937
-34.880742,100,82.402385
-34.711469,100,84.729164
-50.622176,100,87.128396
-45.210293,100,89.303794
-25.02307,100,91.6467
-56.463078,100,93.84031
-69.973922,100,96.032405
-50.496216,100,98.28868
-41.727803,100,100.478891
-37.149774,100,102.82643
-74.403792,100,105.250835
-46.722615,100,107.640427
-51.703618,100,109.905557
-38.300854,100,112.289638
-71.28085,100,114.62378
-99.946682,100,116.916504
-33.902191,100,119.211248
-62.161235,100,121.496002
-77.934179,100,123.659873
-59.659092,100,125.81648
-56.595029,100,128.004208
-47.720456,100,130.201903
-51.132083,100,132.570478
-43.556606,100,134.942005
-54.2379,100,137.280575
-57.702333,100,139.57915
-42.040423,100,142.153624
-40.667462,100,144.593412
-42.135725,100,146.787713
-27.808418,100,148.996574
-46.224605,100,151.198014
-61.094918,100,153.421872
-37.5903,100,155.758197
-35.008237,100,157.946728
-39.972742,100,160.165226
-28.979769,100,162.412778
-54.365771,100,164.665112
-45.310317,100,166.882028
-32.539697,100,169.127792
-39.749684,100,171.381701
-45.182485,100,173.818667
-55.138779,100,176.199383
-45.82587,100,178.437145
-65.12545,100,180.648793
-32.691559,100,182.843411
-57.474767,100,185.112297
-55.090492,100,187.250091
-52.634039,100,189.591174
-30.485929,100,191.819359
-47.742744,100,194.113374
-37.206457,100,196.501107
