#{"t_start": 1766244679.7738373, "env_id": "parking-basic-v0"}
r,l,t
-46.807746,100,25.88227
-58.770727,100,28.048263
-74.685693,100,30.317388
-54.711179,100,32.585697
-46.992139,100,34.840863
-52.304152,100,37.108394
-66.328545,100,39.319632
-57.779761,100,41.587195
-59.42291,100,43.777621
-43.379218,100,45.983102
-62.131364,100,48.170775
-33.649531,100,50.329224
-36.452851,100,52.526686
-52.652997,100,54.732095
-43.823168,100,56.913754
-39.375169,100,59.105422
-38.206752,100,61.29221
-55.119788,100,63.479262
-92.982004,100,65.71999
-45.833312,100,67.915865
-50.470355,100,70.12244
-83.455683,100,72.545979
-56.118438,100,75.199233
-58.371549,100,77.399049
-40.474938,100,79.537722
-69.553603,100,81.935429
-42.316893,100,84.138786
-24.500994,100,86.563597
-80.89804,100,88.964148
-48.136213,100,91.290742
-44.830817,100,93.690014
-30.732648,100,95.86554
-47.321562,100,98.20836
-55.725812,100,100.402089
-71.636471,100,102.593549
-43.637889,100,104.849998
-87.763237,100,107.040745
-33.123606,100,109.388258
-26.509714,100,111.812621
-38.934429,100,114.202291
-70.370324,100,116.467443
-77.145439,100,118.851453
-96.767971,100,121.185618
-54.602395,100,123.478336
-42.442033,100,125.773031
-22.588844,100,128.058022
-46.691826,100,130.221667
-59.741262,100,132.378245
-71.947478,100,134.566013
-57.84177,100,136.763584
-45.109049,100,139.132263
-49.540309,100,141.503795
-40.335584,100,143.842315
-48.745364,100,146.140978
-42.317156,100,148.715015
-40.487285,100,151.155293
-80.501912,100,153.349567
-28.279136,100,155.558445
-69.359915,100,157.759576
-49.096636,100,159.983718
-50.435542,100,162.320061
-56.132561,100,164.508595
-43.998216,100,166.72672
-33.856567,100,168.97461
-53.303981,100,171.226875
-40.845779,100,173.444
-49.828319,100,175.689671
-52.1253,100,177.943847
-53.535585,100,180.380624
-38.078787,100,182.761029
-61.11437,100,184.998855
-37.337887,100,187.210542
-53.310431,100,189.405246
-60.137085,100,191.674143
-28.499598,100,193.812602
-42.366661,100,196.153077
-75.419746,100,198.381248
-52.261797,100,200.675246
-39.369845,100,203.063015
-34.895656,100,205.434564
-58.71612,100,207.67546
-54.254269,100,209.961975
-74.082892,100,212.177439
-23.251539,100,214.4151
-72.835527,100,216.647689
-66.847528,100,219.056351
-39.73188,100,221.261508
-78.172208,100,223.394579
-36.97345,100,225.754079
-75.015184,100,228.101927
-32.043336,100,230.319107
-40.116257,100,232.642919
-55.878202,100,234.83052
-33.416804,100,237.084468
-52.667606,100,239.284622
-39.860157,100,241.451707
-61.886502,100,243.666064
-61.697707,100,245.801016
-48.251438,100,247.980223
-43.717266,100,250.100467
-48.178791,100,252.434458
-37.268458,100,254.764648
-44.029017,100,257.080146
-41.947313,100,259.391091
