#{"t_start": 1766244684.494648, "env_id": "parking-basic-v0"}
r,l,t
-64.548619,100,21.161526
-52.748461,100,23.325636
-62.353865,100,25.59794
-71.809981,100,27.864943
-51.449668,100,30.120181
-84.187387,100,32.387455
-53.393428,100,34.598732
-43.692734,100,36.866474
-47.434566,100,39.056765
-67.349802,100,41.26225
-78.906478,100,43.449827
-39.714532,100,45.608419
-62.644037,100,47.805889
-64.223984,100,50.009879
-56.012446,100,52.193002
-54.08638,100,54.384744
-41.339367,100,56.571645
-55.234369,100,58.758552
-45.09366,100,60.999287
-60.633301,100,63.195192
-57.728938,100,65.401758
-76.62887,100,67.824553
-52.530138,100,70.478499
-56.227953,100,72.678402
-44.999173,100,74.816949
-44.37837,100,77.214816
-47.307323,100,79.417922
-69.759726,100,81.842998
-58.320175,100,84.243511
-45.061989,100,86.570623
-54.966036,100,88.969335
-67.767919,100,91.14471
-70.159901,100,93.487645
-38.976987,100,95.68138
-32.269494,100,97.872865
-91.267833,100,100.12933
-56.180307,100,102.319949
-82.560998,100,104.667477
-25.381318,100,107.091226
-95.468461,100,109.481486
-44.585312,100,111.746632
-45.867476,100,114.130618
-38.207508,100,116.46496
-74.712869,100,118.757726
-64.441239,100,121.052211
-74.509815,100,123.336951
-41.702007,100,125.501074
-56.790611,100,127.657641
-47.979876,100,129.84538
-55.264896,100,132.042826
-43.01308,100,134.411442
-56.412201,100,136.78297
-55.61252,100,139.121567
-43.147801,100,141.420163
-47.060075,100,143.994296
-45.361261,100,146.434601
-42.338838,100,148.628903
-38.545572,100,150.837643
-62.269942,100,153.039406
-53.335413,100,155.262968
-55.314153,100,157.599408
-38.678645,100,159.787776
-47.357609,100,162.005985
-52.620384,100,164.253757
-24.523073,100,166.506134
-49.139545,100,168.723049
-42.258316,100,170.968997
-44.775833,100,173.221526
-44.550128,100,175.659647
-55.428411,100,178.040236
-52.306563,100,180.27803
-32.327741,100,182.4897
-50.053835,100,184.684586
-63.838761,100,186.953393
-53.749061,100,189.091242
